№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Длительность_простоя_часы;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Вид_ремонта;Месяц;День_недели;Час;Сезон;Кол_во_откл
482;2025-04-27 19:12:46.110740494;2;175;07:11:00;7.29;РПВ успешно;576;1906;146;снег;3;2.6;плановый;4;6;7;Весна;1
487;2025-04-29 00:21:08.045363576;110;150;11:44:00;7.77;МТЗ (КЗ);2057;1195;346;дождь;-25;4.0;аварийный;4;1;11;Весна;1
489;2025-04-29 12:00:28.819212808;13;12;05:25:00;7.27;МТЗ (перегруз);4507;450;92;облачно;9;2.9;текущий;4;1;5;Весна;1
490;2025-04-29 17:50:09.206137424;3;177;12:37:00;6.85;МТЗ (перегруз);1209;564;403;ясно;0;6.9;аварийный;4;1;12;Весна;1
491;2025-04-29 23:39:49.593062040;7;107;21:40:00;3.24;МТЗ (перегруз);4698;865;276;ясно;13;8.6;аварийный;4;1;21;Весна;1
493;2025-04-30 11:19:10.366911274;9;77;13:44:00;3.22;МТЗ (КЗ);3453;593;455;облачно;19;9.1;аварийный;4;2;13;Весна;1
497;2025-05-01 10:37:51.914609740;9;174;22:29:00;2.14;МТЗ (перегруз);1925;2907;145;ясно;4;12.0;текущий;5;3;22;Весна;1
498;2025-05-01 16:27:32.301534356;17;156;07:19:00;7.21;МТЗ (КЗ);2752;2098;422;облачно;3;10.2;аварийный;5;3;7;Весна;1
500;2025-05-02 04:06:53.075383588;102;51;21:08:00;4.94;Повреждение опоры;3205;2511;154;дождь;3;1.0;текущий;5;4;21;Весна;1
501;2025-05-02 09:56:33.462308206;101;169;11:34:00;3.65;МТЗ (перегруз);2048;1390;212;дождь;5;7.0;плановый;5;4;11;Весна;1
502;2025-05-02 15:46:13.849232822;152;182;10:17:00;3.29;МТЗ (перегруз);2170;2031;121;облачно;18;12.0;плановый;5;4;10;Весна;1
513;2025-05-05 07:52:38.105403602;152;7;03:36:00;7.13;МТЗ (КЗ);3269;1820;156;облачно;-8;9.6;аварийный;5;0;3;Весна;1
514;2025-05-05 13:42:18.492328218;15;139;16:48:00;5.45;Повреждение кабеля;979;1473;203;облачно;5;10.3;аварийный;5;0;16;Весна;1
516;2025-05-06 01:21:39.266177452;9;67;10:44:00;3.14;МТЗ (перегруз);4508;2505;474;ясно;24;4.7;аварийный;5;1;10;Весна;1
518;2025-05-06 13:01:00.040026684;7;125;04:41:00;3.06;РПВ успешно;835;2053;200;гроза;-13;9.1;аварийный;5;1;4;Весна;1
519;2025-05-06 18:50:40.426951300;158;68;04:36:00;3.88;РПВ успешно;414;830;378;дождь;-23;4.5;аварийный;5;1;4;Весна;1
520;2025-05-07 00:40:20.813875916;101;85;13:43:00;1.96;Повреждение опоры;4981;1532;384;облачно;-2;15.0;аварийный;5;2;13;Весна;1
522;2025-05-07 12:19:41.587725150;13;17;02:59:00;2.47;МТЗ (КЗ);3785;2819;274;ясно;-5;2.2;плановый;5;2;2;Весна;1
525;2025-05-08 05:48:42.748498998;9;117;01:10:00;2.89;РПВ успешно;2343;2452;486;ясно;-9;10.2;аварийный;5;3;1;Весна;1
526;2025-05-08 11:38:23.135423616;158;17;18:18:00;4.15;МТЗ (перегруз);4727;704;249;облачно;-15;3.0;текущий;5;3;18;Весна;1
538;2025-05-11 09:34:27.778519012;5;72;19:44:00;3.57;Повреждение опоры;3985;849;146;ясно;-23;6.7;текущий;5;6;19;Весна;1
541;2025-05-12 03:03:28.939292862;158;93;21:42:00;6.99;РПВ успешно;2417;135;276;ясно;-24;5.0;текущий;5;0;21;Весна;1
545;2025-05-13 02:22:10.486991328;7;113;07:06:00;0.12;МТЗ (перегруз);3413;34;36;дождь;11;0.1;плановый;5;1;7;Весна;1
550;2025-05-14 07:30:32.421614410;2;9;01:45:00;2.31;Повреждение кабеля;2064;1391;74;ясно;-23;9.5;текущий;5;2;1;Весна;1
552;2025-05-14 19:09:53.195463642;105;123;05:15:00;5.49;МТЗ (перегруз);4307;2379;449;дождь;30;4.4;аварийный;5;2;5;Весна;1
553;2025-05-15 00:59:33.582388258;3;120;22:26:00;0.27;РПВ успешно;3928;2378;400;облачно;27;0.5;аварийный;5;3;22;Весна;1
556;2025-05-15 18:28:34.743162108;2;23;09:09:00;6.59;РПВ успешно;709;169;369;ясно;2;3.5;аварийный;5;3;9;Весна;1
557;2025-05-16 00:18:15.130086724;15;191;03:12:00;7.34;Обрыв провода;1085;1960;461;снег;30;9.4;аварийный;5;4;3;Весна;1
560;2025-05-16 17:47:16.290860574;7;93;17:31:00;4.79;Плановый ремонт;867;1809;424;ясно;18;11.1;аварийный;5;4;17;Весна;1
561;2025-05-16 23:36:56.677785190;101;107;18:08:00;6.76;МТЗ (КЗ);868;2198;82;снег;22;14.0;текущий;5;4;18;Весна;1
562;2025-05-17 05:26:37.064709806;2;157;00:59:00;5.1;Обрыв провода;4168;244;12;ясно;-2;11.4;плановый;5;5;0;Весна;1
564;2025-05-17 17:05:57.838559038;152;84;18:18:00;5.19;МТЗ (перегруз);1174;1535;303;ясно;15;7.1;аварийный;5;5;18;Весна;1
567;2025-05-18 10:34:58.999332888;2;13;17:36:00;6.6;Повреждение опоры;4794;338;165;облачно;30;9.7;текущий;5;6;17;Весна;1
569;2025-05-18 22:14:19.773182120;5;8;06:35:00;5.93;МТЗ (КЗ);989;549;487;облачно;-25;13.4;аварийный;5;6;6;Весна;1
571;2025-05-19 09:53:40.547031354;158;54;09:52:00;2.21;Повреждение опоры;4703;1825;257;ясно;10;14.2;аварийный;5;0;9;Весна;1
575;2025-05-20 09:12:22.094729820;13;171;03:57:00;4.2;Повреждение кабеля;3973;128;155;ясно;-9;7.8;плановый;5;1;3;Весна;1
576;2025-05-20 15:02:02.481654436;152;170;14:29:00;3.01;МТЗ (перегруз);3512;1769;152;дождь;32;3.3;текущий;5;1;14;Весна;1
586;2025-05-23 01:18:46.350900600;13;59;03:39:00;0.62;МТЗ (перегруз);2707;1259;411;облачно;34;7.1;аварийный;5;4;3;Весна;1
593;2025-05-24 18:06:29.059372914;5;17;11:06:00;1.21;Повреждение кабеля;510;2513;359;снег;5;10.1;аварийный;5;5;11;Весна;1
596;2025-05-25 11:35:30.220146764;11;57;14:30:00;5.69;МТЗ (перегруз);1826;2062;83;облачно;-15;0.7;аварийный;5;6;14;Весна;1
606;2025-05-27 21:52:14.089392928;17;3;05:28:00;3.9;Плановый ремонт;669;2388;332;облачно;5;3.6;плановый;5;1;5;Весна;1
607;2025-05-28 03:41:54.476317544;105;48;23:58:00;7.85;РПВ успешно;406;1634;273;облачно;29;3.2;аварийный;5;2;23;Весна;1
608;2025-05-28 09:31:34.863242160;11;115;01:16:00;7.69;РПВ успешно;979;1280;7;ясно;-18;11.6;аварийный;5;2;1;Весна;1
609;2025-05-28 15:21:15.250166778;9;39;16:58:00;7.69;Обрыв провода;135;146;420;ясно;11;5.7;текущий;5;2;16;Весна;1
611;2025-05-29 03:00:36.024016010;7;104;01:54:00;5.86;МТЗ (перегруз);2710;2946;348;облачно;-13;0.0;плановый;5;3;1;Весна;1
612;2025-05-29 08:50:16.410940626;2;155;01:50:00;4.01;РПВ успешно;4472;989;403;дождь;9;0.9;аварийный;5;3;1;Весна;1
613;2025-05-29 14:39:56.797865244;101;18;12:51:00;3.15;РПВ успешно;1155;2381;448;ясно;32;13.2;плановый;5;3;12;Весна;1
614;2025-05-29 20:29:37.184789860;9;41;08:04:00;0.38;МТЗ (перегруз);2451;1782;424;гроза;-21;10.8;текущий;5;3;8;Весна;1
618;2025-05-30 19:48:18.732488326;2;47;22:06:00;6.78;МТЗ (КЗ);4607;2189;278;облачно;-11;8.2;аварийный;5;4;22;Весна;1
619;2025-05-31 01:37:59.119412942;105;112;06:45:00;1.74;МТЗ (перегруз);320;2478;384;облачно;-2;12.4;аварийный;5;5;6;Весна;1
626;2025-06-01 18:25:41.827885256;110;23;12:04:00;3.2;РПВ успешно;4826;834;248;ясно;-20;0.8;плановый;6;6;12;Лето;1
627;2025-06-02 00:15:22.214809872;158;85;19:02:00;7.07;МТЗ (перегруз);2037;853;37;дождь;10;11.1;плановый;6;0;19;Лето;1
629;2025-06-02 11:54:42.988659106;15;101;15:26:00;2.24;МТЗ (перегруз);4641;1919;227;гроза;30;11.4;текущий;6;0;15;Лето;1
630;2025-06-02 17:44:23.375583722;9;31;09:09:00;0.26;МТЗ (КЗ);4399;530;464;гроза;-16;7.2;аварийный;6;0;9;Лето;1
633;2025-06-03 11:13:24.536357572;152;102;16:00:00;5.7;МТЗ (перегруз);1154;2546;382;дождь;14;2.7;аварийный;6;1;16;Лето;1
635;2025-06-03 22:52:45.310206804;7;167;16:33:00;6.48;МТЗ (перегруз);4727;271;339;гроза;-23;1.8;текущий;6;1;16;Лето;1
639;2025-06-04 22:11:26.857905270;7;15;03:31:00;3.16;Плановый ремонт;418;860;42;дождь;14;12.0;текущий;6;2;3;Лето;1
641;2025-06-05 09:50:47.631754502;3;59;18:05:00;4.42;Авария;2436;2250;452;дождь;-20;1.8;плановый;6;3;18;Лето;1
644;2025-06-06 03:19:48.792528352;9;89;19:30:00;2.55;МТЗ (КЗ);3143;892;312;дождь;-19;4.7;плановый;6;4;19;Лето;1
648;2025-06-07 02:38:30.340226818;3;124;00:48:00;0.26;МТЗ (КЗ);1974;149;400;снег;-21;11.0;аварийный;6;5;0;Лето;1
649;2025-06-07 08:28:10.727151434;9;33;17:47:00;2.73;Повреждение кабеля;1523;2616;166;снег;-13;11.8;текущий;6;5;17;Лето;1
650;2025-06-07 14:17:51.114076050;2;147;21:28:00;0.9;МТЗ (КЗ);2811;370;56;ясно;3;14.7;аварийный;6;5;21;Лето;1
654;2025-06-08 13:36:32.661774516;110;169;16:26:00;4.21;МТЗ (перегруз);2484;787;97;облачно;-10;9.5;текущий;6;6;16;Лето;1
656;2025-06-09 01:15:53.435623748;2;39;14:37:00;0.64;МТЗ (КЗ);2245;412;83;ясно;-24;4.0;аварийный;6;0;14;Лето;1
658;2025-06-09 12:55:14.209472982;7;73;00:31:00;4.92;МТЗ (КЗ);4245;1092;257;снег;-25;1.8;аварийный;6;0;0;Лето;1
660;2025-06-10 00:34:34.983322214;105;48;20:58:00;6.2;Повреждение кабеля;2511;34;492;облачно;23;5.8;плановый;6;1;20;Лето;1
663;2025-06-10 18:03:36.144096064;5;46;09:31:00;5.41;Авария;2754;851;369;дождь;24;1.4;текущий;6;1;9;Лето;1
666;2025-06-11 11:32:37.304869912;13;123;08:26:00;0.17;РПВ успешно;3906;52;376;облачно;24;10.7;аварийный;6;2;8;Лето;1
667;2025-06-11 17:22:17.691794530;2;111;19:46:00;0.33;МТЗ (КЗ);4214;2356;431;снег;-15;6.9;текущий;6;2;19;Лето;1
670;2025-06-12 10:51:18.852568378;2;138;17:37:00;3.13;РПВ успешно;2416;2646;173;ясно;12;11.1;текущий;6;3;17;Лето;1
672;2025-06-12 22:30:39.626417612;7;73;05:42:00;4.35;МТЗ (КЗ);2893;2922;181;снег;-8;11.8;аварийный;6;3;5;Лето;1
674;2025-06-13 10:10:00.400266844;11;168;03:49:00;5.23;Плановый ремонт;112;2569;138;облачно;-13;4.5;текущий;6;4;3;Лето;1
675;2025-06-13 15:59:40.787191460;158;88;03:27:00;0.93;Обрыв провода;3031;1787;120;ясно;12;1.7;текущий;6;4;3;Лето;1
683;2025-06-15 14:37:03.882588392;11;188;23:41:00;4.33;МТЗ (КЗ);3440;1923;51;снег;19;4.6;плановый;6;6;23;Лето;1
685;2025-06-16 02:16:24.656437624;7;177;09:57:00;7.53;Повреждение опоры;1286;2886;136;ясно;19;7.5;аварийный;6;0;9;Лето;1
693;2025-06-18 00:53:47.751834556;152;87;12:31:00;5.58;МТЗ (перегруз);3368;606;449;облачно;18;7.7;аварийный;6;2;12;Лето;1
694;2025-06-18 06:43:28.138759172;101;126;10:31:00;7.14;МТЗ (перегруз);1723;2040;114;ясно;-17;3.2;аварийный;6;2;10;Лето;1
695;2025-06-18 12:33:08.525683788;17;127;18:53:00;1.83;Авария;2460;1542;136;облачно;7;8.1;текущий;6;2;18;Лето;1
697;2025-06-19 00:12:29.299533022;102;98;18:12:00;6.98;Повреждение кабеля;4065;248;204;облачно;27;1.8;аварийный;6;3;18;Лето;1
698;2025-06-19 06:02:09.686457638;7;17;06:12:00;3.2;Плановый ремонт;866;1136;308;дождь;-9;12.9;текущий;6;3;6;Лето;1
701;2025-06-19 23:31:10.847231488;7;124;15:24:00;5.88;Повреждение кабеля;1897;514;85;дождь;25;1.9;аварийный;6;3;15;Лето;1
707;2025-06-21 10:29:13.168779186;15;30;07:17:00;7.22;МТЗ (перегруз);3857;2591;5;ясно;31;11.1;плановый;6;5;7;Лето;1
713;2025-06-22 21:27:15.490326884;13;123;09:28:00;3.63;МТЗ (перегруз);255;1865;39;ясно;-22;7.0;текущий;6;6;9;Лето;1
716;2025-06-23 14:56:16.651100734;9;130;16:08:00;0.14;Повреждение опоры;3625;728;47;ясно;-18;6.4;текущий;6;0;16;Лето;1
718;2025-06-24 02:35:37.424949966;7;99;04:18:00;5.0;Обрыв провода;4728;1298;382;снег;3;2.4;аварийный;6;1;4;Лето;1
725;2025-06-25 19:23:20.133422280;13;13;10:53:00;3.15;РПВ успешно;1004;2443;93;снег;-16;7.6;аварийный;6;2;10;Лето;1
726;2025-06-26 01:13:00.520346898;102;178;11:50:00;6.59;Повреждение кабеля;433;2119;293;облачно;-23;14.1;текущий;6;3;11;Лето;1
727;2025-06-26 07:02:40.907271514;13;156;20:57:00;2.3;Повреждение кабеля;3000;1619;486;дождь;-11;11.7;текущий;6;3;20;Лето;1
728;2025-06-26 12:52:21.294196130;110;101;19:11:00;1.29;МТЗ (перегруз);3798;2632;21;ясно;-5;13.3;плановый;6;3;19;Лето;1
733;2025-06-27 18:00:43.228819212;3;157;06:39:00;5.37;МТЗ (перегруз);2428;1215;380;ясно;22;12.4;плановый;6;4;6;Лето;1
737;2025-06-28 17:19:24.776517678;9;163;14:15:00;3.35;МТЗ (перегруз);2556;2974;498;облачно;4;4.7;текущий;6;5;14;Лето;1
738;2025-06-28 23:09:05.163442294;158;159;13:23:00;5.03;Обрыв провода;3889;1268;441;облачно;-10;6.2;аварийный;6;5;13;Лето;1
740;2025-06-29 10:48:25.937291528;13;127;18:42:00;5.44;МТЗ (перегруз);2308;2912;407;ясно;8;5.1;текущий;6;6;18;Лето;1
741;2025-06-29 16:38:06.324216144;105;149;11:49:00;5.23;Повреждение опоры;3589;1954;13;ясно;-15;12.5;аварийный;6;6;11;Лето;1
743;2025-06-30 04:17:27.098065376;9;21;11:04:00;0.53;Повреждение кабеля;2954;1010;181;ясно;-7;11.2;плановый;6;0;11;Лето;1
745;2025-06-30 15:56:47.871914610;158;175;16:28:00;7.6;МТЗ (перегруз);4579;1145;416;облачно;17;6.8;аварийный;6;0;16;Лето;1
754;2025-07-02 20:23:51.354236156;9;108;07:42:00;0.51;МТЗ (перегруз);4441;935;208;облачно;26;3.7;текущий;7;2;7;Лето;1
762;2025-07-04 19:01:14.449633088;105;37;09:16:00;5.02;Авария;1280;2664;372;ясно;-6;5.2;аварийный;7;4;9;Лето;1
766;2025-07-05 18:19:55.997331554;15;11;01:49:00;3.39;МТЗ (перегруз);812;2333;49;ясно;-16;1.1;аварийный;7;5;1;Лето;1
769;2025-07-06 11:48:57.158105404;3;40;11:55:00;1.33;МТЗ (перегруз);241;913;92;ясно;34;12.4;аварийный;7;6;11;Лето;1
770;2025-07-06 17:38:37.545030020;13;36;04:25:00;6.49;МТЗ (перегруз);4311;2440;343;ясно;-3;1.5;плановый;7;6;4;Лето;1
773;2025-07-07 11:07:38.705803868;158;10;07:45:00;2.56;МТЗ (перегруз);3266;2792;478;ясно;29;0.9;аварийный;7;0;7;Лето;1
780;2025-07-09 03:55:21.414276184;17;167;12:16:00;6.14;Плановый ремонт;3852;1115;332;дождь;-14;7.2;плановый;7;2;12;Лето;1
784;2025-07-10 03:14:02.961974650;110;187;07:12:00;7.13;Повреждение опоры;1931;279;94;облачно;34;8.3;аварийный;7;3;7;Лето;1
786;2025-07-10 14:53:23.735823882;158;120;20:29:00;6.85;РПВ успешно;2835;729;405;облачно;12;14.5;текущий;7;3;20;Лето;1
787;2025-07-10 20:43:04.122748498;15;32;02:09:00;3.0;МТЗ (перегруз);876;1832;348;дождь;26;10.1;аварийный;7;3;2;Лето;1
788;2025-07-11 02:32:44.509673114;7;84;06:21:00;6.04;Повреждение кабеля;3035;285;499;дождь;28;4.0;текущий;7;4;6;Лето;1
789;2025-07-11 08:22:24.896597732;3;58;07:49:00;7.59;Плановый ремонт;377;1809;314;ясно;33;8.8;аварийный;7;4;7;Лето;1
802;2025-07-14 12:08:09.926617744;101;168;18:51:00;5.39;РПВ успешно;3485;2536;52;ясно;26;4.2;плановый;7;0;18;Лето;1
807;2025-07-15 17:16:31.861240826;17;140;00:44:00;0.98;Повреждение кабеля;121;1700;189;облачно;17;12.0;аварийный;7;1;0;Лето;1
809;2025-07-16 04:55:52.635090060;101;160;20:20:00;6.7;Плановый ремонт;4487;955;101;ясно;25;7.9;текущий;7;2;20;Лето;1
810;2025-07-16 10:45:33.022014676;9;88;16:20:00;7.7;Повреждение кабеля;1924;880;155;облачно;-20;10.2;аварийный;7;2;16;Лето;1
815;2025-07-17 15:53:54.956637758;9;164;12:51:00;5.46;РПВ успешно;1301;1280;187;гроза;32;4.2;аварийный;7;3;12;Лето;1
816;2025-07-17 21:43:35.343562374;11;129;09:17:00;7.93;РПВ успешно;4617;2427;387;ясно;1;1.4;аварийный;7;3;9;Лето;1
818;2025-07-18 09:22:56.117411608;15;25;01:02:00;2.05;РПВ успешно;3099;1106;281;облачно;14;8.7;плановый;7;4;1;Лето;1
821;2025-07-19 02:51:57.278185456;17;163;11:40:00;5.34;МТЗ (КЗ);2448;443;339;дождь;-22;4.7;текущий;7;5;11;Лето;1
822;2025-07-19 08:41:37.665110072;5;66;02:57:00;4.87;Повреждение опоры;677;1502;445;облачно;26;4.3;аварийный;7;5;2;Лето;1
823;2025-07-19 14:31:18.052034690;110;46;20:23:00;1.02;РПВ успешно;2722;884;111;ясно;-3;9.9;плановый;7;5;20;Лето;1
829;2025-07-21 01:29:20.373582388;101;61;04:57:00;4.66;РПВ успешно;4588;1270;357;ясно;-17;13.4;текущий;7;0;4;Лето;1
833;2025-07-22 00:48:01.921280854;2;90;12:58:00;6.01;РПВ успешно;781;615;456;ясно;32;6.5;аварийный;7;1;12;Лето;1
834;2025-07-22 06:37:42.308205470;110;89;11:00:00;3.72;МТЗ (перегруз);2208;2442;320;ясно;16;5.4;плановый;7;1;11;Лето;1
837;2025-07-23 00:06:43.468979318;3;190;14:16:00;2.69;МТЗ (перегруз);706;175;336;ясно;19;12.6;аварийный;7;2;14;Лето;1
843;2025-07-24 11:04:45.790527018;105;60;05:04:00;7.48;Повреждение кабеля;3126;995;19;ясно;33;9.8;плановый;7;3;5;Лето;1
846;2025-07-25 04:33:46.951300866;11;119;14:18:00;6.21;МТЗ (перегруз);2516;2476;402;ясно;9;6.0;плановый;7;4;14;Лето;1
850;2025-07-26 03:52:28.498999332;101;99;03:12:00;4.3;РПВ успешно;2006;2937;462;ясно;-22;8.3;аварийный;7;5;3;Лето;1
852;2025-07-26 15:31:49.272848566;7;28;12:01:00;4.5;МТЗ (перегруз);4937;180;158;гроза;19;12.5;аварийный;7;5;12;Лето;1
855;2025-07-27 09:00:50.433622414;105;30;09:37:00;4.3;Повреждение кабеля;2830;432;59;облачно;19;9.9;аварийный;7;6;9;Лето;1
857;2025-07-27 20:40:11.207471648;11;4;22:05:00;2.08;Повреждение опоры;1497;1923;95;ясно;-16;8.6;аварийный;7;6;22;Лето;1
858;2025-07-28 02:29:51.594396264;105;106;10:42:00;7.83;Авария;1525;2906;296;ясно;6;10.1;плановый;7;0;10;Лето;1
862;2025-07-29 01:48:33.142094728;9;3;08:59:00;1.61;РПВ успешно;890;1824;201;облачно;21;6.3;аварийный;7;1;8;Лето;1
865;2025-07-29 19:17:34.302868580;3;112;14:24:00;6.4;Обрыв провода;3615;1347;93;ясно;15;0.8;аварийный;7;1;14;Лето;1
866;2025-07-30 01:07:14.689793196;7;99;10:10:00;6.66;Плановый ремонт;3000;2560;208;ясно;-24;13.9;аварийный;7;2;10;Лето;1
867;2025-07-30 06:56:55.076717812;9;16;16:50:00;3.2;МТЗ (перегруз);1931;2713;261;дождь;17;4.6;аварийный;7;2;16;Лето;1
872;2025-07-31 12:05:17.011340892;9;79;07:06:00;1.14;РПВ успешно;4720;901;11;облачно;17;12.1;аварийный;7;3;7;Лето;1
873;2025-07-31 17:54:57.398265508;152;8;04:25:00;0.85;РПВ успешно;1934;85;100;ясно;-10;5.0;текущий;7;3;4;Лето;1
880;2025-08-02 10:42:40.106737824;152;64;04:26:00;7.3;РПВ успешно;4983;840;163;облачно;6;10.2;аварийный;8;5;4;Лето;1
881;2025-08-02 16:32:20.493662440;13;19;22:33:00;1.63;Повреждение кабеля;2631;701;435;ясно;-17;3.4;аварийный;8;5;22;Лето;1
882;2025-08-02 22:22:00.880587056;17;79;19:08:00;4.41;МТЗ (перегруз);3638;925;342;дождь;11;1.2;аварийный;8;5;19;Лето;1
884;2025-08-03 10:01:21.654436292;5;106;06:03:00;7.82;Обрыв провода;4529;172;440;облачно;5;4.3;аварийный;8;6;6;Лето;1
888;2025-08-04 09:20:03.202134756;101;96;15:15:00;1.69;Плановый ремонт;3228;2186;394;облачно;-22;9.0;текущий;8;0;15;Лето;1
889;2025-08-04 15:09:43.589059372;101;92;00:46:00;1.76;Обрыв провода;1181;2588;409;ясно;24;10.1;плановый;8;0;0;Лето;1
890;2025-08-04 20:59:23.975983988;7;27;16:53:00;4.86;Повреждение кабеля;2127;1629;165;ясно;6;3.4;текущий;8;0;16;Лето;1
891;2025-08-05 02:49:04.362908604;13;105;21:41:00;2.08;Повреждение кабеля;1310;194;467;дождь;1;11.0;аварийный;8;1;21;Лето;1
894;2025-08-05 20:18:05.523682456;11;90;08:09:00;0.74;МТЗ (КЗ);4933;69;65;облачно;34;10.9;аварийный;8;1;8;Лето;1
900;2025-08-07 07:16:07.845230152;2;24;20:09:00;4.42;Повреждение опоры;1801;683;127;снег;-4;2.1;текущий;8;3;20;Лето;1
901;2025-08-07 13:05:48.232154768;15;127;15:35:00;4.88;МТЗ (КЗ);3038;173;147;снег;-23;3.8;текущий;8;3;15;Лето;1
902;2025-08-07 18:55:28.619079384;152;196;20:39:00;1.11;МТЗ (КЗ);3839;719;395;ясно;19;12.6;аварийный;8;3;20;Лето;1
903;2025-08-08 00:45:09.006004000;17;44;16:40:00;3.74;РПВ успешно;2206;381;342;дождь;33;4.5;плановый;8;4;16;Лето;1
904;2025-08-08 06:34:49.392928620;105;17;18:45:00;0.2;РПВ успешно;985;2308;211;облачно;-17;8.3;плановый;8;4;18;Лето;1
908;2025-08-09 05:53:30.940627084;3;129;19:43:00;0.86;МТЗ (перегруз);4128;575;343;облачно;28;13.1;плановый;8;5;19;Лето;1
911;2025-08-09 23:22:32.101400932;17;129;16:01:00;5.41;Повреждение кабеля;2126;1145;434;ясно;34;1.9;текущий;8;5;16;Лето;1
919;2025-08-11 21:59:55.196797864;11;185;21:27:00;3.6;Повреждение кабеля;3975;1076;210;ясно;-18;14.5;аварийный;8;0;21;Лето;1
923;2025-08-12 21:18:36.744496332;105;39;18:11:00;3.85;МТЗ (перегруз);1852;2723;41;дождь;12;7.8;аварийный;8;1;18;Лето;1
927;2025-08-13 20:37:18.292194796;105;72;19:53:00;7.16;МТЗ (перегруз);3438;1954;395;дождь;20;5.1;плановый;8;2;19;Лето;1
933;2025-08-15 07:35:20.613742496;110;118;03:10:00;7.45;Повреждение кабеля;2620;1471;488;ясно;-3;4.8;текущий;8;4;3;Лето;1
934;2025-08-15 13:25:01.000667112;5;54;18:32:00;4.1;МТЗ (перегруз);847;357;272;ясно;20;5.3;аварийный;8;4;18;Лето;1
935;2025-08-15 19:14:41.387591728;3;179;05:41:00;4.95;Повреждение кабеля;293;515;421;облачно;-1;14.1;текущий;8;4;5;Лето;1
937;2025-08-16 06:54:02.161440960;7;185;06:47:00;4.7;МТЗ (КЗ);4965;682;0;ясно;34;2.4;текущий;8;5;6;Лето;1
938;2025-08-16 12:43:42.548365576;7;4;00:06:00;4.8;Повреждение опоры;4436;929;466;ясно;26;1.2;текущий;8;5;0;Лето;1
941;2025-08-17 06:12:43.709139424;105;47;03:36:00;0.74;Плановый ремонт;4107;2599;157;ясно;-24;9.5;плановый;8;6;3;Лето;1
943;2025-08-17 17:52:04.482988660;2;1;22:25:00;1.5;Обрыв провода;1785;2655;18;облачно;5;14.9;аварийный;8;6;22;Лето;1
945;2025-08-18 05:31:25.256837892;11;118;06:08:00;7.0;МТЗ (перегруз);1614;1194;234;ясно;-11;9.2;аварийный;8;0;6;Лето;1
946;2025-08-18 11:21:05.643762508;102;3;06:42:00;3.73;Обрыв провода;1259;2421;442;ясно;-15;12.4;текущий;8;0;6;Лето;1
947;2025-08-18 17:10:46.030687124;13;22;01:43:00;7.49;РПВ успешно;3306;1600;250;гроза;-12;2.5;аварийный;8;0;1;Лето;1
948;2025-08-18 23:00:26.417611740;101;9;12:21:00;0.57;Повреждение кабеля;3174;489;442;ясно;13;5.6;текущий;8;0;12;Лето;1
949;2025-08-19 04:50:06.804536356;105;83;09:27:00;2.03;РПВ успешно;2720;598;348;облачно;-18;4.1;аварийный;8;1;9;Лето;1
951;2025-08-19 16:29:27.578385588;105;45;07:22:00;4.21;Авария;2106;2391;332;ясно;-19;1.5;аварийный;8;1;7;Лето;1
952;2025-08-19 22:19:07.965310208;3;113;04:43:00;0.46;Плановый ремонт;1695;1745;439;облачно;24;2.5;аварийный;8;1;4;Лето;1
953;2025-08-20 04:08:48.352234824;15;169;03:56:00;0.57;Повреждение кабеля;1500;1563;189;ясно;-12;4.3;текущий;8;2;3;Лето;1
954;2025-08-20 09:58:28.739159440;11;179;23:26:00;6.15;МТЗ (КЗ);4613;2789;480;ясно;31;1.5;плановый;8;2;23;Лето;1
957;2025-08-21 03:27:29.899933288;15;173;12:04:00;0.87;МТЗ (перегруз);416;2907;65;облачно;19;7.1;плановый;8;3;12;Лето;1
958;2025-08-21 09:17:10.286857904;102;111;22:10:00;6.77;МТЗ (КЗ);4519;2614;427;облачно;-25;6.1;плановый;8;3;22;Лето;1
959;2025-08-21 15:06:50.673782520;158;19;17:11:00;5.87;МТЗ (КЗ);748;1322;402;облачно;26;13.0;аварийный;8;3;17;Лето;1
961;2025-08-22 02:46:11.447631752;105;168;15:37:00;3.28;РПВ успешно;4129;428;443;гроза;-18;2.4;плановый;8;4;15;Лето;1
965;2025-08-23 02:04:52.995330220;2;115;22:42:00;5.64;РПВ успешно;540;1888;462;ясно;31;3.0;аварийный;8;5;22;Лето;1
966;2025-08-23 07:54:33.382254836;3;115;14:39:00;2.11;РПВ успешно;2437;2404;133;ясно;27;8.5;текущий;8;5;14;Лето;1
970;2025-08-24 07:13:14.929953300;152;117;16:27:00;4.16;МТЗ (КЗ);1571;306;133;снег;12;1.4;аварийный;8;6;16;Лето;1
971;2025-08-24 13:02:55.316877916;105;117;02:32:00;0.82;Повреждение кабеля;1314;1917;380;ясно;9;13.4;аварийный;8;6;2;Лето;1
972;2025-08-24 18:52:35.703802536;11;126;10:33:00;7.14;РПВ успешно;4868;537;181;снег;-25;4.9;аварийный;8;6;10;Лето;1
973;2025-08-25 00:42:16.090727152;3;183;17:33:00;3.54;РПВ успешно;2118;1667;69;облачно;22;2.7;текущий;8;0;17;Лето;1
