№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
6500;2025-06-10;2;132;17:41:00;18:26:43;18.462;66463;Отключение МТЗ (КЗ);16937;870;46;гроза;20;9.5;дождь;ул. Толе би;аварийный;ГорЭлектроСеть
6501;2025-12-22;102;156;18:06:00;15:35:41;15.6117;56201;РПВ успешно;22265;480;59;пасмурно;-16;4.1;нет;Южный мкр;капитальный;РЭС
6502;2025-05-09;2;32;09:15:00;23:39:53;23.6814;85253;Грозовое перенапряжение;205560;336;402;туман;12;0.5;нет;ул. Жырау;текущий;РЭС
6503;2025-03-28;110;67;20:59:00;13:01:47;13.0464;46967;Отключение МТЗ (КЗ);25062;1158;80;дождь;-6;5.2;дождь;ТЭЦ-2;аварийный;ЖКХ
6504;2025-12-30;5;199;07:20:00;18:24:26;18.424;66326;Отключение МТЗ (КЗ);105834;1017;324;дождь;-13;3.1;дождь;ул. Лермонтова;капитальный;ГорЭлектроСеть
6505;2025-11-14;11;45;06:40:00;21:53:28;21.908;78868;Грозовое перенапряжение;69699;1892;115;облачно;-1;2.7;нет;ул. Валиханова;плановый;РЭС
6506;2025-03-27;110;67;18:47:00;05:54:25;5.9238;21325;Наезд авто на опору;17828;268;140;снегопад;-8;5.8;снег;мкр. Жастар;текущий;ГорЭлектроСеть
6507;2025-11-21;5;45;02:25:00;17:22:45;14.9627;53865;Повреждение кабеля;91126;2172;236;пасмурно;-4;2.8;нет;мкр. Орбита;плановый;ГорЭлектроСеть
6508;2025-05-05;3;1;02:12:00;22:10:46;19.9797;71926;Отключение МТЗ (перегруз);53038;809;189;снег;17;4.0;снег;мкр. Орбита;текущий;ГорЭлектроСеть
6509;2025-05-17;5;156;18:34:00;06:11:25;6.207;22345;Повреждение изолятора;28695;944;329;снегопад;25;8.8;снег;мкр. Жастар;аварийный;Частный
6510;2025-01-12;15;1;01:09:00;01:14:59;0.0999;359;Авария на подстанции;203;806;70;облачно;-8;2.9;нет;мкр. Запад;капитальный;РЭС
6511;2025-12-23;13;32;05:43:00;22:44:38;17.0275;61298;Обрыв провода;72412;1497;188;ясно;-6;2.6;нет;ул. Пушкина;плановый;Частный
6512;2025-02-13;102;32;04:51:00;23:46:27;18.9243;68127;Повреждение трансформатора;86489;1256;273;снегопад;-12;9.1;снег;мкр. Орбита;аварийный;ГорЭлектроСеть
6513;2025-02-05;2;89;02:22:00;09:07:21;6.7559;24321;Падение дерева;11173;982;88;ясно;-16;0.6;нет;ул. Валиханова;текущий;Частный
6514;2025-06-17;5;89;17:03:00;20:39:16;20.6712;74416;Повреждение кабеля;96102;1706;265;облачно;21;4.6;нет;ул. Пушкина;текущий;ЖКХ
6515;2025-11-08;101;8;13:37:00;21:05:58;21.1161;76018;Отключение МТЗ (КЗ);44973;1495;75;ясно;0;0.8;нет;мкр. Жастар;плановый;Частный
6516;2025-05-31;15;67;06:51:00;19:19:39;19.3444;69639;Грозовое перенапряжение;43245;1437;89;дождь;11;7.1;дождь;Северный мкр;капитальный;ЖКХ
6517;2025-10-26;9;132;18:02:00;09:41:15;9.7043;34935;Авария на подстанции;70497;1199;324;туман;7;0.6;нет;Южный мкр;текущий;ЖКХ
6518;2025-01-20;102;45;07:53:00;19:09:52;19.1812;69052;Грозовое перенапряжение;197875;1634;437;дождь;-12;6.4;дождь;ул. Сатпаева;капитальный;ГорЭлектроСеть
6519;2025-01-16;7;132;19:28:00;07:51:08;7.8691;28328;Отключение МТЗ;51115;1266;401;снег;-12;2.5;снег;Центральный р-н;плановый;ГорЭлектроСеть
6520;2025-07-12;102;25;21:33:00;13:29:41;13.5114;48641;Обрыв провода;46310;46;237;облачно;30;2.1;нет;ул. Жырау;плановый;РЭС
6521;2025-06-22;101;32;12:36:00;18:18:55;18.332;65995;Повреждение кабеля;77094;1562;246;пасмурно;28;2.8;нет;ул. Пушкина;плановый;РЭС
6522;2025-07-09;158;178;07:52:00;15:29:07;7.6188;27427;Авария на подстанции;30661;2003;141;снег;22;5.5;снег;ул. Абая;текущий;Частный
6523;2025-10-27;15;1;17:56:00;18:01:40;0.0946;340;Отключение МТЗ;641;1484;302;гроза;12;10.9;дождь;мкр. Орбита;капитальный;ГорЭлектроСеть
6524;2025-01-01;105;25;01:41:00;19:37:46;17.9464;64606;Отключение МТЗ (КЗ);106528;2493;342;дождь;-14;7.5;дождь;мкр. Жастар;плановый;ЖКХ
6525;2025-01-19;152;132;14:46:00;19:09:57;19.1826;69057;Наезд авто на опору;75625;778;282;облачно;-20;3.2;нет;ул. Лермонтова;плановый;Частный
6526;2025-03-23;15;9;16:22:00;19:40:19;3.3053;11899;Грозовое перенапряжение;27263;208;440;гроза;-2;8.9;дождь;ул. Валиханова;текущий;Частный
6527;2025-04-08;9;2;09:21:00;21:20:15;11.9875;43155;Грозовое перенапряжение;52316;331;212;снегопад;2;7.1;снег;ТЭЦ-2;капитальный;Частный
6528;2025-01-18;15;32;08:13:00;09:03:00;0.8334;3000;Отключение МТЗ (КЗ);8179;355;432;облачно;-9;4.2;нет;мкр. Орбита;текущий;ГорЭлектроСеть
6529;2025-06-21;7;199;10:02:00;19:08:51;19.1644;68991;Повреждение изолятора;61867;760;175;снег;27;4.8;снег;Южный мкр;капитальный;Частный
6530;2025-06-24;15;32;23:54:00;12:15:29;12.2748;44189;РПВ успешно;31341;2046;142;туман;29;1.7;нет;ул. Валиханова;плановый;РЭС
6531;2025-06-17;158;1;18:34:00;20:19:39;20.3444;73239;Отключение МТЗ (КЗ);95033;494;241;гроза;32;6.9;дождь;ТЭЦ-2;текущий;РЭС
6532;2025-06-07;5;45;17:50:00;17:15:50;17.2807;62210;Повреждение опоры;50698;1263;128;снегопад;18;11.9;снег;мкр. Восток;капитальный;ЖКХ
6533;2025-04-12;101;2;22:16:00;05:56:00;5.9502;21420;Повреждение изолятора;44288;701;420;дождь;15;4.5;дождь;мкр. Восток;аварийный;РЭС
6534;2025-06-02;2;132;23:07:00;23:24:15;0.2877;1035;Отключение МТЗ;2181;1558;450;гроза;24;10.1;дождь;мкр. Запад;капитальный;ЖКХ
6535;2025-05-29;17;1;02:47:00;12:21:19;9.5721;34459;Повреждение кабеля;21894;233;121;пасмурно;11;2.8;нет;мкр. Жастар;плановый;Частный
6536;2025-12-23;13;178;07:21:00;19:12:51;11.8642;42711;Отключение МТЗ (КЗ);88745;931;440;пасмурно;-15;2.4;нет;ул. Пушкина;текущий;РЭС
6537;2025-09-12;158;1;11:25:00;21:49:10;21.8363;78610;Плановый ремонт;174881;1950;325;снегопад;20;4.3;снег;Северный мкр;аварийный;Частный
6538;2025-01-29;7;67;16:35:00;15:47:02;15.8008;56882;Падение дерева;49253;2175;155;ясно;-17;0.2;нет;Южный мкр;аварийный;РЭС
6539;2025-07-31;17;2;07:10:00;15:11:47;8.0297;28907;РПВ успешно;33715;162;187;пасмурно;20;5.8;нет;Южный мкр;текущий;Частный
6540;2025-03-18;102;178;15:09:00;14:08:07;14.152;50947;Отключение МТЗ (КЗ);56787;450;314;гроза;-1;8.1;дождь;ул. Жансугурова;текущий;РЭС
6541;2025-02-05;3;132;16:41:00;14:56:15;14.9543;53835;Повреждение изолятора;124434;2070;370;дождь;-12;6.0;дождь;мкр. Жастар;плановый;ГорЭлектроСеть
6542;2025-02-05;152;15;12:06:00;16:33:17;4.4549;16037;Отключение МТЗ (КЗ);16762;1381;242;облачно;-7;4.8;нет;мкр. Запад;текущий;РЭС
6543;2025-07-30;7;1;07:29:00;18:26:53;10.965;39473;Повреждение трансформатора;51929;765;324;гроза;28;10.4;дождь;мкр. Запад;капитальный;ЖКХ
6544;2025-09-10;3;2;02:01:00;02:40:18;0.6552;2358;Грозовое перенапряжение;2887;1918;181;снегопад;15;5.7;снег;мкр. Жастар;плановый;РЭС
6545;2025-06-09;105;15;22:21:00;06:22:32;6.3922;23012;Отключение МТЗ (КЗ);31939;1939;299;дождь;20;4.4;дождь;ул. Сатпаева;текущий;ЖКХ
6546;2025-08-13;17;15;06:36:00;15:42:21;9.106;32781;Отключение МТЗ (перегруз);92193;1664;398;пасмурно;24;2.6;нет;мкр. Запад;капитальный;ЖКХ
6547;2025-03-28;110;132;03:47:00;23:08:37;19.3603;69697;РПВ успешно;60301;66;153;туман;-8;1.1;нет;ул. Пушкина;капитальный;ГорЭлектроСеть
6548;2025-03-13;15;15;23:35:00;11:19:18;11.3384;40818;Повреждение кабеля;68332;441;259;ясно;-9;0.7;нет;ул. Валиханова;аварийный;ГорЭлектроСеть
6549;2025-06-19;3;199;14:46:00;17:26:54;17.4651;62874;Обрыв провода;115024;740;340;облачно;24;4.7;нет;ул. Пушкина;плановый;Частный
6550;2025-09-14;11;67;06:41:00;21:38:43;21.6621;77983;Повреждение кабеля;49876;1559;60;туман;25;1.0;нет;мкр. Жастар;текущий;ГорЭлектроСеть
6551;2025-08-19;5;132;07:09:00;12:04:07;4.9189;17707;Падение дерева;26228;2437;285;снегопад;22;5.0;снег;ул. Жансугурова;аварийный;Частный
6552;2025-07-06;2;1;08:19:00;12:04:59;3.7665;13559;РПВ успешно;9946;290;167;ясно;27;2.2;нет;Северный мкр;текущий;РЭС
6553;2025-12-21;105;199;07:10:00;10:11:01;3.0172;10861;Повреждение трансформатора;32077;1987;418;ясно;-14;0.1;нет;ул. Пушкина;аварийный;Частный
6554;2025-04-28;15;132;12:58:00;16:04:07;3.1022;11167;Плановый ремонт;16469;1888;377;пасмурно;2;2.6;нет;Северный мкр;аварийный;Частный
6555;2025-04-19;17;15;04:08:00;20:51:28;20.8745;75148;Повреждение опоры;90858;1150;193;снегопад;5;11.8;снег;ул. Жансугурова;плановый;Частный
6556;2025-12-22;158;2;09:32:00;14:13:04;4.6845;16864;Повреждение изолятора;42838;1391;377;дождь;-6;6.8;дождь;ул. Сатпаева;аварийный;РЭС
6557;2025-08-05;15;25;20:13:00;04:39:23;4.6732;16823;Грозовое перенапряжение;27147;831;388;гроза;27;7.8;дождь;мкр. Запад;текущий;ГорЭлектроСеть
6558;2025-09-07;152;89;08:52:00;19:22:36;10.51;37836;Падение дерева;50147;1238;351;пасмурно;16;5.0;нет;мкр. Орбита;капитальный;РЭС
6559;2025-07-16;11;9;14:32:00;21:27:08;21.4691;77288;РПВ успешно;152601;1963;354;облачно;29;1.0;нет;ул. Сатпаева;плановый;РЭС
6560;2025-06-16;102;178;13:37:00;16:34:20;2.9558;10640;Отключение МТЗ (перегруз);5033;534;83;гроза;32;12.9;дождь;ул. Лермонтова;текущий;Частный
6561;2025-03-09;17;9;17:08:00;21:28:12;21.4867;77352;Падение дерева;134587;575;315;гроза;4;12.3;дождь;мкр. Орбита;аварийный;Частный
6562;2025-06-19;9;178;16:21:00;17:32:27;1.191;4287;Повреждение опоры;3197;1517;161;гроза;20;10.9;дождь;мкр. Восток;капитальный;РЭС
6563;2025-10-08;152;8;04:11:00;07:43:23;3.5399;12743;РПВ успешно;5301;1398;55;пасмурно;10;4.1;нет;ул. Лермонтова;аварийный;Частный
6564;2025-12-07;9;67;03:21:00;05:54:31;2.5588;9211;Отключение МТЗ;1870;352;38;гроза;-16;10.8;дождь;Южный мкр;аварийный;ГорЭлектроСеть
6565;2025-07-05;5;89;07:22:00;17:21:52;9.998;35992;Обрыв провода;58377;2313;243;дождь;24;7.8;дождь;Южный мкр;аварийный;ЖКХ
6566;2025-11-15;11;32;01:27:00;16:36:43;15.162;54583;Повреждение изолятора;86267;903;284;облачно;-7;1.2;нет;Северный мкр;аварийный;ЖКХ
6567;2025-05-20;101;9;10:34:00;19:39:25;9.0904;32725;Отключение МТЗ (КЗ);46520;2491;207;гроза;20;13.8;дождь;мкр. Восток;плановый;ГорЭлектроСеть
6568;2025-06-10;17;8;05:41:00;20:53:01;20.9005;75241;Повреждение кабеля;138661;2289;434;пасмурно;25;5.9;нет;Южный мкр;капитальный;Частный
6569;2025-01-02;5;8;16:56:00;11:48:01;11.8171;42541;Повреждение трансформатора;64195;2024;274;туман;-24;1.6;нет;ул. Гагарина;капитальный;ГорЭлектроСеть
6570;2025-04-04;17;156;02:34:00;15:42:39;13.1444;47319;Падение дерева;54475;410;300;снегопад;13;11.8;снег;ул. Жансугурова;аварийный;Частный
6571;2025-04-27;101;32;03:35:00;21:07:37;21.1438;76117;Повреждение кабеля;25238;354;57;облачно;4;2.3;нет;ТЭЦ-2;плановый;РЭС
6572;2025-06-23;105;1;16:39:00;17:55:12;1.27;4572;Повреждение изолятора;4438;453;144;туман;18;1.1;нет;ул. Гагарина;аварийный;РЭС
6573;2025-09-01;3;2;12:08:00;23:30:50;23.5306;84710;Отключение МТЗ (перегруз);159216;2266;340;облачно;14;3.5;нет;Южный мкр;плановый;Частный
6574;2025-01-08;9;1;11:05:00;15:01:32;15.0422;54152;Отключение МТЗ (перегруз);164179;2488;438;пасмурно;-24;4.3;нет;Южный мкр;текущий;РЭС
6575;2025-09-17;102;67;03:58:00;21:50:26;17.8739;64346;Грозовое перенапряжение;88074;1282;186;пасмурно;15;2.4;нет;ул. Гагарина;плановый;ЖКХ
6576;2025-05-05;11;45;10:01:00;10:42:43;0.6954;2503;Обрыв провода;1794;504;112;снегопад;18;8.1;снег;Южный мкр;капитальный;Частный
6577;2025-05-12;3;67;16:13:00;11:55:54;11.9485;43014;Повреждение изолятора;66063;2429;294;гроза;20;11.3;дождь;мкр. Восток;капитальный;Частный
6578;2025-09-06;11;9;10:30:00;16:23:53;5.8983;21233;РПВ успешно;41027;984;295;дождь;25;6.9;дождь;мкр. Запад;плановый;ГорЭлектроСеть
6579;2025-10-02;17;89;20:14:00;17:25:56;17.4491;62816;Повреждение опоры;83928;1818;323;снегопад;15;9.3;снег;ул. Сатпаева;текущий;ГорЭлектроСеть
6580;2025-05-18;101;15;06:38:00;19:06:22;19.1229;68842;Отключение МТЗ;44317;2037;97;облачно;14;4.2;нет;промзона;плановый;РЭС
6581;2025-02-14;7;8;08:28:00;20:57:17;12.4883;44957;Повреждение трансформатора;75873;1341;449;дождь;-9;3.9;дождь;мкр. Орбита;капитальный;РЭС
6582;2025-11-16;158;1;09:44:00;10:33:10;0.8197;2950;Обрыв провода;5212;2187;270;туман;2;1.7;нет;ул. Толе би;плановый;РЭС
6583;2025-07-25;110;25;05:56:00;20:10:05;20.1848;72665;Повреждение кабеля;119858;1470;223;дождь;35;3.8;дождь;мкр. Восток;аварийный;ЖКХ
6584;2025-03-14;13;89;19:20:00;14:12:46;14.2296;51226;Отключение МТЗ (КЗ);7121;458;15;гроза;-4;12.4;дождь;ул. Валиханова;капитальный;Частный
6585;2025-06-15;7;25;13:19:00;21:39:41;21.6783;78041;Плановый ремонт;28268;889;58;снегопад;21;5.5;снег;ул. Пушкина;капитальный;ЖКХ
6586;2025-03-19;17;67;06:24:00;13:54:11;7.5032;27011;Наезд авто на опору;48852;1821;410;ясно;-6;1.7;нет;ул. Абая;плановый;ГорЭлектроСеть
6587;2025-07-25;13;1;19:31:00;22:01:12;2.5035;9012;Грозовое перенапряжение;6586;639;163;пасмурно;24;2.6;нет;ул. Лермонтова;плановый;РЭС
6588;2025-09-25;102;67;06:04:00;22:20:43;22.362;80503;Отключение МТЗ;18237;1273;6;пасмурно;16;2.0;нет;ул. Жырау;аварийный;Частный
6589;2025-06-19;15;178;13:05:00;11:56:25;11.957;43045;Отключение МТЗ (КЗ);69281;756;306;снегопад;25;10.9;снег;ул. Валиханова;текущий;РЭС
6590;2025-08-13;3;132;10:32:00;15:06:34;15.1262;54454;Повреждение трансформатора;30704;587;106;туман;32;1.8;нет;мкр. Жастар;текущий;РЭС
6591;2025-08-30;3;89;02:10:00;05:01:01;2.8504;10261;Повреждение кабельной линии;11477;1519;181;ясно;24;2.0;нет;промзона;аварийный;ЖКХ
6592;2025-08-04;17;32;11:36:00;14:56:38;3.344;12038;Отключение МТЗ;11151;1293;106;снегопад;24;9.9;снег;ул. Жырау;аварийный;Частный
6593;2025-10-11;152;89;01:13:00;11:19:49;10.1138;36409;Повреждение кабеля;33037;1276;220;дождь;13;5.5;дождь;Южный мкр;плановый;ГорЭлектроСеть
6594;2025-03-06;5;67;05:04:00;10:10:40;5.1113;18400;Грозовое перенапряжение;41263;1478;337;снегопад;-3;5.9;снег;мкр. Жастар;текущий;Частный
6595;2025-11-10;110;156;12:03:00;17:30:11;17.5198;63071;Повреждение изолятора;110502;583;361;облачно;-3;2.4;нет;ул. Гагарина;капитальный;РЭС
6596;2025-04-05;17;156;11:00:00;14:31:53;3.5316;12713;Повреждение кабеля;6991;2498;47;ясно;12;1.3;нет;ул. Жансугурова;аварийный;ГорЭлектроСеть
6597;2025-11-10;13;132;15:21:00;17:52:54;17.8985;64434;Повреждение опоры;135757;1678;424;снегопад;1;5.1;снег;ул. Сатпаева;текущий;ЖКХ
6598;2025-05-29;101;45;02:47:00;21:33:56;21.5823;77696;Отключение МТЗ (КЗ);103331;1708;321;гроза;21;8.2;дождь;ул. Жансугурова;аварийный;РЭС
6599;2025-01-25;2;67;21:14:00;15:00:08;15.019;54068;Повреждение опоры;55745;65;291;снег;-12;5.9;снег;ул. Абая;плановый;ЖКХ
6600;2025-06-27;102;132;22:01:00;22:25:06;0.4017;1446;Повреждение опоры;1787;1719;205;гроза;28;6.8;дождь;ул. Абая;капитальный;ГорЭлектроСеть
6601;2025-11-13;17;45;01:06:00;03:31:32;2.4258;8732;Падение дерева;7509;546;198;дождь;0;6.6;дождь;ул. Жансугурова;капитальный;РЭС
6602;2025-11-05;7;25;07:22:00;22:46:40;15.4113;55480;Падение дерева;95098;1889;235;снегопад;-6;7.1;снег;ул. Валиханова;текущий;РЭС
6603;2025-09-30;2;9;11:16:00;19:16:07;19.2853;69427;Грозовое перенапряжение;99096;950;235;гроза;20;9.6;дождь;промзона;плановый;Частный
6604;2025-01-06;7;67;23:44:00;12:38:34;12.6595;45574;Плановый ремонт;18110;1968;14;туман;-18;1.6;нет;мкр. Запад;текущий;ЖКХ
6605;2025-11-01;5;8;01:43:00;09:11:15;7.4711;26895;Падение дерева;35997;2016;303;ясно;-4;0.2;нет;Центральный р-н;капитальный;ЖКХ
6606;2025-09-03;5;132;19:39:00;21:54:57;2.2659;8157;Повреждение изолятора;18261;439;408;гроза;24;6.2;дождь;ул. Сатпаева;аварийный;РЭС
6607;2025-10-28;11;45;16:02:00;22:45:22;22.773;81982;Отключение МТЗ (КЗ);163683;1095;306;гроза;3;6.2;дождь;ул. Абая;аварийный;ГорЭлектроСеть
6608;2025-11-29;7;9;07:46:00;13:09:33;5.3926;19413;Повреждение кабеля;10831;1253;67;гроза;-6;12.2;дождь;ул. Гагарина;плановый;ГорЭлектроСеть
6609;2025-03-19;2;199;10:40:00;23:44:46;13.0796;47086;Авария на подстанции;11913;536;50;облачно;-4;4.5;нет;Северный мкр;капитальный;Частный
6610;2025-07-27;7;199;21:58:00;02:52:23;2.8899;10403;Наезд авто на опору;17013;2322;390;туман;20;0.1;нет;ул. Жырау;капитальный;Частный
6611;2025-07-30;101;45;19:40:00;14:10:50;14.1975;51110;РПВ успешно;45775;1311;173;ясно;31;1.8;нет;ул. Толе би;аварийный;РЭС
6612;2025-10-26;5;45;14:00:00;18:51:23;18.8731;67943;Наезд авто на опору;47580;1591;124;снег;2;3.2;снег;мкр. Восток;аварийный;ГорЭлектроСеть
6613;2025-11-25;152;199;14:47:00;21:28:23;6.6899;24083;Отключение МТЗ (перегруз);15418;924;124;дождь;3;4.0;дождь;ТЭЦ-2;капитальный;РЭС
6614;2025-10-05;9;9;16:26:00;20:33:36;20.5767;74076;Повреждение кабеля;91860;986;314;снегопад;13;5.8;снег;мкр. Жастар;текущий;ЖКХ
6615;2025-04-29;110;67;16:47:00;09:09:14;9.1708;33014;Повреждение кабеля;43203;992;209;облачно;2;4.9;нет;ул. Пушкина;аварийный;Частный
6616;2025-03-21;152;15;11:59:00;22:04:37;22.0936;79537;Обрыв провода;73640;2246;191;дождь;-9;6.1;дождь;ул. Жансугурова;аварийный;РЭС
6617;2025-10-03;110;15;12:44:00;14:29:14;14.5041;52214;Повреждение кабеля;40319;1304;85;снегопад;7;4.8;снег;ул. Лермонтова;текущий;ЖКХ
6618;2025-09-06;3;199;04:28:00;10:16:43;5.8122;20923;Повреждение изолятора;7023;917;47;туман;12;1.8;нет;ул. Жансугурова;текущий;ЖКХ
6619;2025-09-05;152;67;20:45:00;17:17:45;17.3125;62325;РПВ успешно;16988;212;62;дождь;21;7.1;дождь;ул. Жырау;плановый;РЭС
6620;2025-10-08;152;156;09:49:00;11:11:18;1.3719;4938;Повреждение трансформатора;7464;1894;281;снег;13;3.7;снег;мкр. Запад;капитальный;РЭС
6621;2025-12-09;2;156;08:31:00;23:54:32;23.9257;86132;Повреждение опоры;130063;686;373;снег;-7;3.1;снег;Центральный р-н;аварийный;Частный
6622;2025-03-07;2;2;01:56:00;05:37:23;3.6899;13283;Отключение МТЗ;18446;60;377;облачно;2;1.8;нет;ул. Валиханова;текущий;ГорЭлектроСеть
6623;2025-01-23;158;9;18:27:00;17:39:21;17.6727;63621;Плановый ремонт;37659;1525;55;туман;-19;1.1;нет;Центральный р-н;текущий;ЖКХ
6624;2025-10-07;13;45;09:13:00;20:14:17;20.2548;72917;Отключение МТЗ (КЗ);66830;2078;93;ясно;4;0.5;нет;мкр. Восток;капитальный;Частный
6625;2025-05-28;15;89;06:02:00;21:14:19;21.2553;76519;Повреждение опоры;35317;129;87;снег;15;4.9;снег;ул. Лермонтова;текущий;ГорЭлектроСеть
6626;2025-02-10;7;25;15:26:00;10:57:43;10.9788;39523;Отключение МТЗ;69019;2470;347;снегопад;-17;5.6;снег;ул. Абая;текущий;ГорЭлектроСеть
6627;2025-06-30;2;89;06:58:00;23:04:38;23.094;83138;Наезд авто на опору;14814;202;34;снегопад;32;10.3;снег;ул. Гагарина;плановый;РЭС
6628;2025-04-14;101;178;18:53:00;07:24:27;7.4243;26727;Авария на подстанции;26031;535;155;гроза;3;6.0;дождь;ул. Сатпаева;аварийный;РЭС
6629;2025-06-03;2;25;03:06:00;20:44:23;17.6399;63503;Наезд авто на опору;122882;2220;271;туман;27;0.9;нет;Южный мкр;аварийный;ЖКХ
6630;2025-08-28;15;32;21:15:00;20:22:28;20.3912;73408;Повреждение кабеля;42702;1289;63;туман;24;0.8;нет;ул. Гагарина;аварийный;ЖКХ
6631;2025-11-20;105;25;10:43:00;17:18:37;6.5938;23737;Повреждение изолятора;39427;2139;378;дождь;-7;7.8;дождь;ТЭЦ-2;плановый;Частный
6632;2025-09-11;11;8;21:03:00;22:38:41;22.6616;81581;Отключение МТЗ (КЗ);121696;213;263;гроза;19;13.7;дождь;Центральный р-н;капитальный;ЖКХ
6633;2025-05-16;152;9;20:27:00;14:21:45;14.3793;51765;Повреждение кабеля;29887;884;71;снег;25;3.4;снег;ул. Жансугурова;аварийный;ГорЭлектроСеть
6634;2025-05-25;2;67;04:27:00;14:47:19;10.3388;37219;Плановый ремонт;78984;1618;327;туман;10;1.5;нет;ул. Лермонтова;капитальный;ЖКХ
6635;2025-03-24;5;8;20:06:00;16:02:14;16.0539;57794;Грозовое перенапряжение;48320;924;134;пасмурно;-9;5.3;нет;ул. Сатпаева;текущий;ЖКХ
6636;2025-12-28;2;2;04:32:00;07:50:05;3.3015;11885;Повреждение опоры;23297;1490;281;пасмурно;-12;5.3;нет;ул. Жырау;плановый;ГорЭлектроСеть
6637;2025-08-02;15;9;15:47:00;22:41:35;22.7098;81755;Отключение МТЗ;90546;19;282;облачно;33;1.4;нет;Южный мкр;аварийный;ЖКХ
6638;2025-10-11;11;2;21:53:00;08:44:11;8.7533;31511;Отключение МТЗ (перегруз);71279;1786;443;снег;8;4.6;снег;мкр. Орбита;аварийный;РЭС
6639;2025-06-13;105;178;08:06:00;08:58:03;0.8676;3123;РПВ успешно;6742;437;363;снег;23;5.6;снег;ул. Лермонтова;капитальный;ГорЭлектроСеть
6640;2025-11-25;3;156;23:49:00;06:39:44;6.679;24044;Повреждение изолятора;21386;1665;95;гроза;2;10.6;дождь;Южный мкр;капитальный;ГорЭлектроСеть
6641;2025-01-18;15;8;00:16:00;01:01:00;0.7502;2700;Грозовое перенапряжение;3695;412;368;пасмурно;-12;5.7;нет;Южный мкр;аварийный;ГорЭлектроСеть
6642;2025-04-11;152;15;19:07:00;07:55:06;7.9352;28566;Повреждение трансформатора;47307;1506;360;пасмурно;14;2.2;нет;мкр. Жастар;аварийный;РЭС
6643;2025-05-23;105;89;20:54:00;08:59:04;9.0013;32404;Повреждение кабеля;8050;1212;34;пасмурно;19;5.6;нет;мкр. Орбита;капитальный;Частный
6644;2025-06-25;3;8;05:30:00;22:29:16;16.9879;61156;Отключение МТЗ (КЗ);126442;512;350;дождь;28;7.8;дождь;ул. Толе би;текущий;ЖКХ
6645;2025-10-14;101;2;00:41:00;23:36:49;23.6305;85069;Повреждение кабеля;57998;1893;111;облачно;2;3.5;нет;мкр. Жастар;плановый;РЭС
6646;2025-08-19;101;8;19:04:00;21:48:15;21.821;78555;Повреждение трансформатора;80244;1742;205;ясно;27;2.2;нет;ул. Сатпаева;текущий;ГорЭлектроСеть
6647;2025-09-15;102;89;01:28:00;15:54:42;14.4451;52002;Отключение МТЗ (перегруз);43802;70;138;снег;16;3.1;снег;ул. Валиханова;плановый;РЭС
6648;2025-11-04;3;156;02:57:00;04:13:49;1.2805;4609;Повреждение кабельной линии;4262;867;176;пасмурно;2;2.7;нет;ул. Толе би;капитальный;РЭС
6649;2025-12-07;158;15;01:32:00;09:30:20;7.9723;28700;Отключение МТЗ (КЗ);48249;1006;321;снегопад;-19;11.3;снег;ул. Сатпаева;аварийный;ГорЭлектроСеть
6650;2025-01-27;5;2;01:47:00;07:35:07;5.802;20887;Повреждение изолятора;8703;1576;26;дождь;-25;6.9;дождь;мкр. Орбита;текущий;ЖКХ
6651;2025-03-09;105;2;11:33:00;18:17:13;6.7372;24253;Падение дерева;21777;1266;227;пасмурно;-3;5.3;нет;мкр. Жастар;капитальный;ГорЭлектроСеть
6652;2025-12-22;15;15;09:41:00;12:58:20;3.289;11840;Грозовое перенапряжение;6849;294;91;туман;-13;1.3;нет;мкр. Жастар;аварийный;РЭС
6653;2025-06-03;7;67;12:47:00;13:33:37;0.7771;2797;Падение дерева;5546;2435;355;снегопад;21;8.4;снег;ул. Лермонтова;текущий;ЖКХ
6654;2025-03-28;5;132;14:56:00;15:34:14;0.6375;2294;Падение дерева;2941;2164;171;снег;4;5.8;снег;ул. Валиханова;капитальный;ГорЭлектроСеть
6655;2025-01-23;15;178;00:34:00;13:38:38;13.0773;47078;Плановый ремонт;25295;126;122;туман;-12;0.0;нет;мкр. Жастар;плановый;Частный
6656;2025-04-21;102;32;21:52:00;10:36:13;10.6205;38233;Грозовое перенапряжение;51842;488;240;дождь;9;4.0;дождь;промзона;текущий;ЖКХ
6657;2025-07-02;102;45;21:48:00;16:42:33;16.7261;60213;Плановый ремонт;17934;1191;13;снегопад;34;5.3;снег;ул. Сатпаева;текущий;Частный
6658;2025-07-01;110;156;18:06:00;13:45:32;13.7757;49592;Отключение МТЗ (КЗ);19659;1593;13;ясно;22;0.9;нет;мкр. Запад;плановый;Частный
6659;2025-04-15;5;9;17:27:00;12:15:35;12.2766;44195;Наезд авто на опору;50479;379;173;ясно;14;1.0;нет;ул. Жырау;плановый;Частный
6660;2025-12-10;2;32;00:27:00;15:49:14;15.3707;55334;РПВ успешно;76234;466;253;туман;-7;1.7;нет;ул. Лермонтова;текущий;ГорЭлектроСеть
